order_id,source_file,Status Pesanan,status_kelompok,Opsi Pengiriman,Metode Pembayaran,Kota/Kabupaten,Provinsi,waktu_pesanan,periode_file,periode_analisis,sumber_periode,alasan_pembatalan_analisis,total_pembayaran_rp,berat_pesanan_gr,jumlah_baris_item,jumlah_item_tercatat,memiliki_baris_identik,retur_tidak_diketahui,jumlah_retur,waktu_pesanan_tidak_tersedia,jumlah_kategori,kategori_dalam_pesanan,diskon_nilai_asli_bervariasi,diskon_nilai_asli,ongkir_pembeli_nilai_asli_bervariasi,ongkir_pembeli_nilai_asli,subsidi_ongkir_nilai_asli_bervariasi,subsidi_ongkir_nilai_asli,estimasi_ongkir_nilai_asli_bervariasi,estimasi_ongkir_nilai_asli,skala_ongkir_diskon_terverifikasi,pembayaran_nol_nonbatal,outlier_total_pembayaran_rp,outlier_jumlah_item_tercatat,outlier_berat_pesanan_gr
ORD_0002731,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BOGOR,JAWA BARAT,2025-08-04 20:07:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),9000,80,1,1,False,False,0,False,1,Aksesoris Pintu,False,0.0,False,0.0,False,3.5,False,3.5,False,False,False,False,False
ORD_0002732,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA JAKARTA BARAT,DKI JAKARTA,2025-08-04 21:19:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),12500,100,1,1,False,False,0,False,1,Aksesoris Pintu,False,0.0,False,0.0,False,3.5,False,3.5,False,False,False,False,False
ORD_0002733,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA JAKARTA BARAT,DKI JAKARTA,2025-08-04 23:07:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),17000,300,1,1,False,False,0,False,1,Mangkok Sambal / Saus,False,0.0,False,0.0,False,3.5,False,3.5,False,False,False,False,False
ORD_0002734,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA JAMBI,JAMBI,2025-08-05 00:39:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),12500,100,1,1,False,False,0,False,1,Aksesoris Pintu,False,0.0,False,0.0,False,20.0,False,20.0,False,False,False,False,False
ORD_0002735,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA BANDUNG,JAWA BARAT,2025-08-05 04:28:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),22000,2000,1,2,False,False,0,False,1,Nampan / Tray,False,0.0,False,0.0,False,6.5,False,6.5,False,False,False,False,False
ORD_0002736,AugustSales2025_public.xlsx,Selesai,Selesai,SPX Hemat,Pembayaran dibebaskan,KOTA JAMBI,JAMBI,2025-08-05 07:24:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),0,200,1,1,False,False,0,False,1,Keranjang,False,0.0,False,0.0,False,9.5,False,9.5,False,True,False,False,False
ORD_0002737,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA JAKARTA TIMUR,DKI JAKARTA,2025-08-05 08:30:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),18800,500,1,1,False,False,0,False,1,Celengan,False,0.0,False,0.0,False,3.5,False,3.5,False,False,False,False,False
ORD_0002738,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,Online Payment,KAB. BLORA,JAWA TENGAH,2025-08-05 08:56:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),47500,600,1,3,False,False,0,False,1,Mangkok Sambal / Saus,False,0.0,False,0.0,False,5.0,False,5.0,False,False,False,False,False
ORD_0002739,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. TANGERANG,BANTEN,2025-08-05 09:38:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),12500,100,1,1,False,False,0,False,1,Aksesoris Pintu,False,0.0,False,0.0,False,3.5,False,3.5,False,False,False,False,False
ORD_0002740,AugustSales2025_public.xlsx,Batal,Batal,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BREBES,JAWA TENGAH,2025-08-05 10:08:00,2025-08,2025-08-01,2025-08,Dibatalkan oleh Pembeli. Alasan: Need to change delivery address,0,9000,2,36,False,False,0,False,1,Lunch Box / Rantang,False,0.0,False,0.0,False,0.0,False,25.0,False,False,False,True,True
ORD_0002741,AugustSales2025_public.xlsx,Batal,Batal,SPX Hemat,Online Payment,KAB. PASAMAN BARAT,SUMATERA BARAT,2025-08-05 11:13:00,2025-08,2025-08-01,2025-08,Dibatalkan oleh Pembeli. Alasan: Lainnya/ berubah pikiran,0,1100,2,3,False,False,0,False,2,Celengan | Lunch Box / Rantang,False,0.0,False,0.0,False,0.0,False,20.7,False,False,False,False,False
ORD_0002742,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BREBES,JAWA TENGAH,2025-08-05 11:35:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),470960,9000,2,36,False,False,0,False,1,Lunch Box / Rantang,False,0.0,False,15.0,False,10.0,False,25.0,False,False,True,True,True
ORD_0002743,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA JAKARTA TIMUR,DKI JAKARTA,2025-08-05 11:44:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),12500,100,1,1,False,False,0,False,1,Aksesoris Pintu,False,0.0,False,0.0,False,3.5,False,3.5,False,False,False,False,False
ORD_0002744,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,SPayLater,KAB. KLATEN,JAWA TENGAH,2025-08-05 11:59:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),22000,2000,1,2,False,False,0,False,1,Nampan / Tray,False,0.0,False,0.0,False,8.0,False,8.0,False,False,False,False,False
ORD_0002745,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,SPayLater,KAB. TANGERANG,BANTEN,2025-08-05 12:55:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),47000,1000,2,2,True,False,0,False,1,Celengan,False,0.0,False,0.0,False,3.5,False,3.5,False,False,False,False,False
ORD_0002746,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. KARAWANG,JAWA BARAT,2025-08-05 13:17:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),18197,330,2,2,False,False,0,False,2,Aksesoris Pintu | Peralatan Makan,False,0.0,False,0.0,False,3.5,False,3.5,False,False,False,False,False
ORD_0002747,AugustSales2025_public.xlsx,Batal,Batal,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. SIDENRENG RAPPANG/RAPANG,SULAWESI SELATAN,2025-08-05 13:59:00,2025-08,2025-08-01,2025-08,Dibatalkan oleh Pembeli. Alasan: Need to change delivery address,0,5000,1,1,False,False,0,False,1,Nampan / Tray,False,0.0,False,0.0,False,0.0,False,75.0,False,False,False,False,True
ORD_0002748,AugustSales2025_public.xlsx,Selesai,Selesai,SPX Standard,SeaBank Bayar Instan,KOTA BANDAR LAMPUNG,LAMPUNG,2025-08-05 14:03:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),14000,160,1,2,False,False,0,False,1,Aksesoris Pintu,False,0.0,False,0.0,False,9.0,False,9.0,False,False,False,False,False
ORD_0002749,AugustSales2025_public.xlsx,Selesai,Selesai,SPX Hemat,COD (Bayar di Tempat),KAB. PRINGSEWU,LAMPUNG,2025-08-05 14:22:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),33000,400,1,2,False,False,0,False,1,Mangkok Sambal / Saus,False,0.0,False,0.0,False,12.6,False,12.6,False,False,False,False,False
ORD_0002750,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA JAMBI,JAMBI,2025-08-05 14:59:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),35353,1000,2,2,True,False,0,False,1,Celengan,False,0.0,False,0.0,False,20.0,False,20.0,False,False,False,False,False
ORD_0002751,AugustSales2025_public.xlsx,Batal,Batal,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BEKASI,JAWA BARAT,2025-08-05 15:26:00,2025-08,2025-08-01,2025-08,Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada,0,500,1,1,False,False,0,False,1,Celengan,False,0.0,False,0.0,False,0.0,False,3.5,False,False,False,False,False
